city;city_ascii;city_alt;lat;lng;country;iso2;iso3
Paris;Paris;;48,8566;2,3522;France;FR;FRA
Nice;Nice;;43,7034;7,2663;France;FR;FRA
Toulouse;Toulouse;;43,6045;1,444;France;FR;FRA
Marseille;Marseille;Marsella|Marseilles|Marsiglia;43,2964;5,37;France;FR;FRA
Rennes;Rennes;Roazhon;48,1147;-1,6794;France;FR;FRA
Grenoble;Grenoble;;45,1715;5,7224;France;FR;FRA
Nantes;Nantes;Naoned;47,2181;-1,5528;France;FR;FRA
Montpellier;Montpellier;;43,6119;3,8772;France;FR;FRA
Lyon;Lyon;Lyons;45,76;4,84;France;FR;FRA
Rouen;Rouen;;49,4428;1,0886;France;FR;FRA
Strasbourg;Strasbourg;Strassbourg|Straszburg|Strasburg|Strassburg;48,5833;7,7458;France;FR;FRA
Nancy;Nancy;;48,6936;6,1846;France;FR;FRA
Metz;Metz;Divodurum|Mettis|Mediomatricum;49,1203;6,1778;France;FR;FRA
Brest;Brest;;48,39;-4,49;France;FR;FRA
Mulhouse;Mulhouse;Mulhousen;47,75;7,34;France;FR;FRA
Limoges;Limoges;Limages;45,8353;1,2625;France;FR;FRA
Orl?ans;Orleans;;47,9025;1,909;France;FR;FRA
Bordeaux;Bordeaux;Burdigala;44,84;-0,58;France;FR;FRA
Le Havre;Le Havre;;49,49;0,1;France;FR;FRA
Lille;Lille;;50,6278;3,0583;France;FR;FRA
Reims;Reims;Rheims;49,2628;4,0347;France;FR;FRA
Saint-?tienne;Saint-Etienne;;45,4347;4,3903;France;FR;FRA
Toulon;Toulon;Toulon-sur-Mer;43,1258;5,9306;France;FR;FRA
Dijon;Dijon;Diviodunum;47,3167;5,0167;France;FR;FRA
Angers;Angers;;47,4736;-0,5542;France;FR;FRA
N?mes;Nimes;Nismes;43,838;4,361;France;FR;FRA
Villeurbanne;Villeurbanne;;45,7667;4,8803;France;FR;FRA
Clermont-Ferrand;Clermont-Ferrand;Clermont;45,7831;3,0824;France;FR;FRA
Le Mans;Le Mans;;48,0077;0,1984;France;FR;FRA
Aix-en-Provence;Aix-en-Provence;Aix;43,5263;5,4454;France;FR;FRA
Amiens;Amiens;;49,892;2,299;France;FR;FRA
Tours;Tours;;47,2436;0,6892;France;FR;FRA
Boulogne-sur-Mer;Boulogne-sur-Mer;Boulogne;50,7264;1,6147;France;FR;FRA
Annecy;Annecy;;45,916;6,133;France;FR;FRA
Perpignan;Perpignan;;42,6986;2,8956;France;FR;FRA
Boulogne-Billancourt;Boulogne-Billancourt;Boulogne-sur-Seine|Billancourt|Boulogne;48,8352;2,2409;France;FR;FRA
Besan?on;Besancon;Becoinson;47,24;6,02;France;FR;FRA
Belfort;Belfort;;47,64;6,85;France;FR;FRA
Saint-Denis;Saint-Denis;;48,9356;2,3539;France;FR;FRA
Argenteuil;Argenteuil;;48,95;2,25;France;FR;FRA
Montreuil;Montreuil;Montreuil-sous-Bois;48,8611;2,4436;France;FR;FRA
Caen;Caen;;49,18;-0,37;France;FR;FRA
Roubaix;Roubaix;;50,6901;3,1817;France;FR;FRA
Tourcoing;Tourcoing;;50,7239;3,1612;France;FR;FRA
Nanterre;Nanterre;;48,8988;2,1969;France;FR;FRA
Avignon;Avignon;;43,95;4,8075;France;FR;FRA
Vitry-sur-Seine;Vitry-sur-Seine;Vitry;48,7875;2,3928;France;FR;FRA
?pinal;Epinal;;48,1744;6,4512;France;FR;FRA
Cr?teil;Creteil;;48,7911;2,4628;France;FR;FRA
Poitiers;Poitiers;;46,58;0,34;France;FR;FRA
Dunkerque;Dunkerque;Dunkirk;51,0383;2,3775;France;FR;FRA
Aubervilliers;Aubervilliers;Aubervilles;48,9131;2,3831;France;FR;FRA
Versailles;Versailles;;48,8053;2,135;France;FR;FRA
Aulnay-sous-Bois;Aulnay-sous-Bois;Aulnay;48,9386;2,4906;France;FR;FRA
Carri?res-sur-Seine;Carrieres-sur-Seine;Carri?res;48,9108;2,2889;France;FR;FRA
Colombes;Colombes;;48,9236;2,2522;France;FR;FRA
Courbevoic;Courbevoic;;48,8978;2,2531;France;FR;FRA
Rueil-Malmaison;Rueil-Malmaison;Rueil;48,876;2,181;France;FR;FRA
Champigny-sur-Marne;Champigny-sur-Marne;Champigny;48,8172;2,5156;France;FR;FRA
B?ziers;Beziers;;43,3476;3,219;France;FR;FRA
Pau;Pau;;43,3;-0,37;France;FR;FRA
La Rochelle;La Rochelle;;46,1591;-1,1517;France;FR;FRA
Saint-Maur-des-Foss?s;Saint-Maur-des-Fosses;Saint-Maur|Saint-Maur-les-Foss?s;48,7994;2,4997;France;FR;FRA
Calais;Calais;;50,9481;1,8564;France;FR;FRA
Cannes;Cannes;;43,5513;7,0128;France;FR;FRA
Antibes;Antibes;;43,5808;7,1239;France;FR;FRA
Drancy;Drancy;;48,93;2,45;France;FR;FRA
Ajaccio;Ajaccio;;41,9267;8,7369;France;FR;FRA
M?rignac;Merignac;Merignae;44,8386;-0,6436;France;FR;FRA
Saint-Nazaire;Saint-Nazaire;;47,2806;-2,2086;France;FR;FRA
Colmar;Colmar;Kolmar;48,0817;7,3556;France;FR;FRA
Issy-les-Moulineaux;Issy-les-Moulineaux;Issy|Issy-les-Moulineau;48,8239;2,27;France;FR;FRA
Noisy-le-Grand;Noisy-le-Grand;Noisy;48,8478;2,5528;France;FR;FRA
Courcouronnes;Courcouronnes;;48,6239;2,4294;France;FR;FRA
V?nissieux;Venissieux;;45,6978;4,8867;France;FR;FRA
Cergy;Cergy;;49,0361;2,0631;France;FR;FRA
Bourges;Bourges;;47,0844;2,3964;France;FR;FRA
Levallois-Perret;Levallois-Perret;Levallois;48,895;2,2872;France;FR;FRA
La Seyne-sur-Mer;La Seyne-sur-Mer;La Seyne;43,1;5,883;France;FR;FRA
Pessac;Pessac;;44,8067;-0,6311;France;FR;FRA
Valence;Valence;;44,9333;4,8917;France;FR;FRA
Quimper;Quimper;;47,9967;-4,0964;France;FR;FRA
Antony;Antony;;48,7539;2,2975;France;FR;FRA
Ivry-sur-Seine;Ivry-sur-Seine;Ivry;48,8078;2,3747;France;FR;FRA
Mont?limar;Montelimar;;44,5581;4,7508;France;FR;FRA
Troyes;Troyes;;48,2997;4,0792;France;FR;FRA
Clichy;Clichy;Clicy;48,9044;2,3064;France;FR;FRA
Cherbourg;Cherbourg;;49,6504;-1,65;France;FR;FRA
Montauban;Montauban;;44,0181;1,3558;France;FR;FRA
Neuilly-sur-Seine;Neuilly-sur-Seine;Neuilly;48,8881;2,2686;France;FR;FRA
Chamb?ry;Chambery;;45,57;5,9118;France;FR;FRA
Niort;Niort;;46,3258;-0,4606;France;FR;FRA
Sarcelles;Sarcelles;Sarcelles-Loch?re;48,9956;2,3808;France;FR;FRA
Pantin;Pantin;;48,8966;2,4017;France;FR;FRA
Lorient;Lorient;;47,75;-3,36;France;FR;FRA
Le Blanc-Mesnil;Le Blanc-Mesnil;;48,9387;2,4614;France;FR;FRA
Beauvais;Beauvais;;49,4303;2,0952;France;FR;FRA
Maisons-Alfort;Maisons-Alfort;;48,8058;2,4378;France;FR;FRA
Hy?res;Hyeres;;43,1199;6,1316;France;FR;FRA
?pinay-sur-Seine;Epinay-sur-Seine;Epinay;48,9553;2,3092;France;FR;FRA
Meaux;Meaux;;48,9603;2,8883;France;FR;FRA
Chelles;Chelles;;48,8833;2,6;France;FR;FRA
Villejuif;Villejuif;;48,7919;2,3636;France;FR;FRA
Narbonne;Narbonne;;43,1836;3,0042;France;FR;FRA
La Roche-sur-Yon;La Roche-sur-Yon;;46,6705;-1,426;France;FR;FRA
Cholet;Cholet;;47,06;-0,8783;France;FR;FRA
Saint-Quentin;Saint-Quentin;;49,8486;3,2864;France;FR;FRA
Bobigny;Bobigny;;48,9106;2,4397;France;FR;FRA
Bondy;Bondy;;48,9022;2,4828;France;FR;FRA
Vannes;Vannes;;47,6559;-2,7603;France;FR;FRA
Clamart;Clamart;;48,8014;2,2628;France;FR;FRA
Fontenay-sous-Bois;Fontenay-sous-Bois;Fontenay;48,8517;2,4772;France;FR;FRA
Fr?jus;Frejus;;43,433;6,737;France;FR;FRA
Arles;Arles;Arles-sur-Rh?ne|Arles-Trinquetaille;43,6767;4,6278;France;FR;FRA
Sartrouville;Sartrouville;;48,9372;2,1644;France;FR;FRA
Corbeil-Essonnes;Corbeil-Essonnes;Corbeil;48,6139;2,482;France;FR;FRA
Bayonne;Bayonne;;43,49;-1,48;France;FR;FRA
Saint-Ouen;Saint-Ouen;Saint-Ouen-sur-Seine;48,9123;2,3342;France;FR;FRA
Sevran;Sevran;;48,9333;2,5333;France;FR;FRA
Cagnes-sur-Mer;Cagnes-sur-Mer;Cagnes;43,6644;7,1489;France;FR;FRA
Massy;Massy;;48,7309;2,2713;France;FR;FRA
Grasse;Grasse;;43,6667;6,9167;France;FR;FRA
Montrouge;Montrouge;;48,8172;2,3219;France;FR;FRA
Vincennes;Vincennes;;48,8478;2,4392;France;FR;FRA
Vaulx-en-Velin;Vaulx-en-Velin;Vaulx;45,7768;4,9186;France;FR;FRA
Laval;Laval;;48,0733;-0,7689;France;FR;FRA
Suresnes;Suresnes;;48,87;2,22;France;FR;FRA
Albi;Albi;;43,9289;2,1464;France;FR;FRA
Martigues;Martigues;;43,4053;5,0475;France;FR;FRA
?vreux;Evreux;Evreux-le-Coudray|Evreaux;49,02;1,15;France;FR;FRA
Brive-la-Gaillarde;Brive-la-Gaillarde;Brive;45,1583;1,5321;France;FR;FRA
Gennevilliers;Gennevilliers;Gennevillers|Genneville;48,9333;2,3;France;FR;FRA
Charleville-M?zi?res;Charleville-Mezieres;Charleville|M?zi?res;49,7719;4,7161;France;FR;FRA
Aubagne;Aubagne;Aubagne en Provence;43,2908;5,5708;France;FR;FRA
Saint-Herblain;Saint-Herblain;;47,2122;-1,6497;France;FR;FRA
Saint-Priest;Saint-Priest;;45,6972;4,9447;France;FR;FRA
Rosny-sous-Bois;Rosny-sous-Bois;Rosny;48,8667;2,4833;France;FR;FRA
Saint-Malo;Saint-Malo;;48,6481;-2,0075;France;FR;FRA
Blois;Blois;;47,5939;1,3281;France;FR;FRA
Carcassonne;Carcassonne;Carcasonne;43,21;2,35;France;FR;FRA
Bastia;Bastia;;42,7008;9,4503;France;FR;FRA
Salon-de-Provence;Salon-de-Provence;Salon;43,6406;5,0972;France;FR;FRA
Meudon;Meudon;;48,8123;2,2382;France;FR;FRA
Choisy-le-Roi;Choisy-le-Roi;Choisy;48,763;2,409;France;FR;FRA
Chalon-sur-Sa?ne;Chalon-sur-Saone;Chalon|Chalons|Chalons sur Sa?ne;46,7806;4,8528;France;FR;FRA
Ch?lons-en-Champagne;Chalons-en-Champagne;Ch?lons-sur-Marne|Ch?lons;48,9575;4,365;France;FR;FRA
Saint-Germain-en-Laye;Saint-Germain-en-Laye;Saint-Germain;48,8989;2,0938;France;FR;FRA
Puteaux;Puteaux;Puteux;48,885;2,2389;France;FR;FRA
Livry-Gargan;Livry-Gargan;Livry-en-Aulnoye|Livry|Livry-en-Launois;48,9192;2,5361;France;FR;FRA
Saint-Brieuc;Saint-Brieuc;Saint-Brieu;48,5136;-2,7653;France;FR;FRA
Mantes-la-Jolie;Mantes-la-Jolie;Mantes-Gassicourt|Mantes|Mantes-Sur-Seine;48,9908;1,7172;France;FR;FRA
Noisy-le-Sec;Noisy-le-Sec;Noisy;48,8894;2,4503;France;FR;FRA
Les Sables-d?Olonne;Les Sables-d'Olonne;;46,4972;-1,7833;France;FR;FRA
Alfortville;Alfortville;;48,805;2,4239;France;FR;FRA
Ch?teauroux;Chateauroux;;46,8103;1,6911;France;FR;FRA
Valenciennes;Valenciennes;;50,358;3,5233;France;FR;FRA
S?te;Sete;Cette;43,4053;3,6975;France;FR;FRA
Caluire-et-Cuire;Caluire-et-Cuire;Caluire;45,7953;4,8472;France;FR;FRA
Istres;Istres;;43,5151;4,9895;France;FR;FRA
La Courneuve;La Courneuve;;48,9322;2,3967;France;FR;FRA
Garges-l?s-Gonesse;Garges-les-Gonesse;Garges;48,9728;2,4008;France;FR;FRA
Talence;Talence;;44,8;-0,584;France;FR;FRA
Angoul?me;Angouleme;;45,65;0,16;France;FR;FRA
Castres;Castres;Castres-sur-l?Agout;43,6;2,25;France;FR;FRA
Bron;Bron;;45,7394;4,9139;France;FR;FRA
Bourg-en-Bresse;Bourg-en-Bresse;Bourg;46,2056;5,2289;France;FR;FRA
Tarbes;Tarbes;;43,23;0,07;France;FR;FRA
Le Cannet;Le Cannet;;43,5769;7,0194;France;FR;FRA
Rez?;Reze;;47,1833;-1,55;France;FR;FRA
Arras;Arras;;50,292;2,78;France;FR;FRA
Wattrelos;Wattrelos;;50,7;3,217;France;FR;FRA
Bagneux;Bagneux;;48,7983;2,3137;France;FR;FRA
Gap;Gap;;44,5594;6,0786;France;FR;FRA
Thionville;Thionville;Diedenhofen;49,3589;6,1692;France;FR;FRA
Al?s;Ales;Alais;44,1281;4,0817;France;FR;FRA
Compi?gne;Compiegne;;49,4149;2,8231;France;FR;FRA
Melun;Melun;;48,5406;2,66;France;FR;FRA
Douai;Douai;;50,3714;3,08;France;FR;FRA
Gagny;Gagny;;48,8833;2,5333;France;FR;FRA
Draguignan;Draguignan;;43,5403;6,4667;France;FR;FRA
Colomiers;Colomiers;;43,6139;1,3367;France;FR;FRA
Anglet;Anglet;;43,485;-1,5183;France;FR;FRA
Stains;Stains;;48,95;2,3833;France;FR;FRA
Marcq-en-Baroeul;Marcq-en-Baroeul;Marcq|Marquette-en-Baroeul|Marq-en-Baroeul|Marq;50,6711;3,0972;France;FR;FRA
Chartres;Chartres;;48,456;1,484;France;FR;FRA
Saint-Martin-d?H?res;Saint-Martin-d'Heres;Saint-Martin;45,1672;5,7653;France;FR;FRA
Jou?-l?s-Tours;Joue-les-Tours;Jou?;47,3514;0,6625;France;FR;FRA
Poissy;Poissy;;48,9294;2,0456;France;FR;FRA
Ch?tillon;Chatillon;Fort Ch?tillon|Ch?tillon-sous-Bagneux;48,8;2,29;France;FR;FRA
Villefranche-sur-Sa?ne;Villefranche-sur-Saone;Villefranche;45,9833;4,7167;France;FR;FRA
?chirolles;Echirolles;;45,1436;5,7183;France;FR;FRA
Villepinte;Villepinte;;48,955;2,541;France;FR;FRA
Franconville;Franconville;;48,9889;2,2314;France;FR;FRA
Savigny-sur-Orge;Savigny-sur-Orge;Savigny;48,6797;2,3457;France;FR;FRA
Sainte-Genevi?ve-des-Bois;Sainte-Genevieve-des-Bois;Sainte-Genevi?ve;48,6369;2,3403;France;FR;FRA
Conflans-Sainte-Honorine;Conflans-Sainte-Honorine;Conflans;48,9992;2,0983;France;FR;FRA
Annemasse;Annemasse;;46,1958;6,2364;France;FR;FRA
Bagnolet;Bagnolet;;48,8692;2,4181;France;FR;FRA
Creil;Creil;;49,2583;2,4833;France;FR;FRA
Montlu?on;Montlucon;;46,3408;2,6033;France;FR;FRA
Palaiseau;Palaiseau;Paliseau;48,7145;2,2457;France;FR;FRA
La Ciotat;La Ciotat;;43,1769;5,6086;France;FR;FRA
Saint-Rapha?l;Saint-Raphael;;43,4252;6,7684;France;FR;FRA
Neuilly-sur-Marne;Neuilly-sur-Marne;Neuilly;48,8537;2,549;France;FR;FRA
Saint-Chamond;Saint-Chamond;;45,4775;4,5153;France;FR;FRA
Thonon-les-Bains;Thonon-les-Bains;Thonon;46,3627;6,475;France;FR;FRA
Auxerre;Auxerre;;47,7986;3,5672;France;FR;FRA
Haguenau;Haguenau;Hagenau;48,82;7,79;France;FR;FRA
Roanne;Roanne;;46,0367;4,0689;France;FR;FRA
Athis-Mons;Athis-Mons;Athis;48,7074;2,3889;France;FR;FRA
Villenave-d?Ornon;Villenave-d'Ornon;Villenave;44,7806;-0,5658;France;FR;FRA
Le Perreux-Sur-Marne;Le Perreux-Sur-Marne;le Perreux|Perreux-Sur-Marne;48,8422;2,5036;France;FR;FRA
M?con;Macon;;46,3063;4,8313;France;FR;FRA
Agen;Agen;;44,2049;0,6212;France;FR;FRA
Villeneuve-Saint-Georges;Villeneuve-Saint-Georges;Villeneuve;48,7325;2,4497;France;FR;FRA
Meyzieu;Meyzieu;Meyzieux;45,7667;5,0036;France;FR;FRA
Vitrolles;Vitrolles;;43,46;5,2486;France;FR;FRA
Ch?tenay-Malabry;Chatenay-Malabry;Ch?tenay;48,7653;2,2781;France;FR;FRA
Romans-sur-Is?re;Romans-sur-Isere;Romas sur Is?re|Romans;45,0464;5,0517;France;FR;FRA
Nevers;Nevers;;46,9933;3,1572;France;FR;FRA
Montigny-le-Bretonneux;Montigny-le-Bretonneux;Montigny;48,7711;2,0333;France;FR;FRA
Marignane;Marignane;Marignanc;43,416;5,2145;France;FR;FRA
Nogent-sur-Marne;Nogent-sur-Marne;Nogent;48,8375;2,4833;France;FR;FRA
Six-Fours-les-Plages;Six-Fours-les-Plages;Six-Fours-la-Plage|Six Fours;43,1009;5,82;France;FR;FRA
Les Mureaux;Les Mureaux;;48,9875;1,9172;France;FR;FRA
Trappes;Trappes;;48,7775;2,0025;France;FR;FRA
Cambrai;Cambrai;Cambria;50,1767;3,2356;France;FR;FRA
Houilles;Houilles;;48,9261;2,1892;France;FR;FRA
Schiltigheim;Schiltigheim;Schiltighein|schilfigheim;48,6078;7,75;France;FR;FRA
Ch?tellerault;Chatellerault;;46,8178;0,5461;France;FR;FRA
Vigneux-sur-Seine;Vigneux-sur-Seine;Vigneux;48,7001;2,417;France;FR;FRA
Plaisir;Plaisir;;48,8183;1,9472;France;FR;FRA
Lens;Lens;;50,4322;2,8333;France;FR;FRA
L?Ha?-les-Roses;L'Hay-les-Roses;L?Hay-les-Roses|L?Hay;48,78;2,3374;France;FR;FRA
Saint-M?dard-en-Jalles;Saint-Medard-en-Jalles;Saint-M?dard;44,8964;-0,7164;France;FR;FRA
Viry-Ch?tillon;Viry-Chatillon;Viry;48,6713;2,375;France;FR;FRA
Cachan;Cachan;Cachon;48,7919;2,3319;France;FR;FRA
Dreux;Dreux;;48,7372;1,3664;France;FR;FRA
Li?vin;Lievin;;50,4228;2,7786;France;FR;FRA
Pontoise;Pontoise;;49,0516;2,1017;France;FR;FRA
Goussainville;Goussainville;;49,0325;2,4747;France;FR;FRA
Charenton-le-Pont;Charenton-le-Pont;Charenton;48,8265;2,405;France;FR;FRA
Pierrefitte-sur-Seine;Pierrefitte-sur-Seine;Pierrefitte;48,9656;2,3614;France;FR;FRA
Malakoff;Malakoff;;48,8169;2,2944;France;FR;FRA
Chatou;Chatou;;48,8897;2,1573;France;FR;FRA
Rillieux-la-Pape;Rillieux-la-Pape;Rillieux;45,8214;4,8983;France;FR;FRA
Vand?uvre-l?s-Nancy;Vandoeuvre-les-Nancy;Vandoeuvre-l?s-Nancy|Vaudoeuvre|Vandoeuvre;48,6567;6,1683;France;FR;FRA
Savigny-le-Temple;Savigny-le-Temple;Savigny;48,5841;2,5832;France;FR;FRA
Saint-Cloud;Saint-Cloud;;48,84;2,22;France;FR;FRA
P?rigueux;Perigueux;P?riguex;45,1929;0,7217;France;FR;FRA
Villemomble;Villemomble;Villemonble;48,8833;2,5;France;FR;FRA
Maubeuge;Maubeuge;;50,2775;3,9734;France;FR;FRA
Aix-les-Bains;Aix-les-Bains;;45,6885;5,9153;France;FR;FRA
Mont-de-Marsan;Mont-de-Marsan;;43,89;-0,5;France;FR;FRA
Bezons;Bezons;;48,9261;2,2178;France;FR;FRA
Clichy-sous-Bois;Clichy-sous-Bois;Clichy;48,9102;2,5532;France;FR;FRA
Vienne;Vienne;;45,5242;4,8781;France;FR;FRA
Ris-Orangis;Ris-Orangis;Ris;48,6537;2,4161;France;FR;FRA
La Garenne-Colombes;La Garenne-Colombes;La Garenne;48,9056;2,2445;France;FR;FRA
Ermont;Ermont;;48,9922;2,2603;France;FR;FRA
Le Plessis-Robinson;Le Plessis-Robinson;Plessis-Robinson;48,7811;2,2633;France;FR;FRA
Dieppe;Dieppe;;49,92;1,08;France;FR;FRA
Yerres;Yerres;;48,7171;2,4881;France;FR;FRA
Thiais;Thiais;;48,765;2,3923;France;FR;FRA
Sotteville-l?s-Rouen;Sotteville-les-Rouen;Sottville-les-Rouen|Sotteville;49,4092;1,09;France;FR;FRA
Menton;Menton;;43,775;7,5;France;FR;FRA
Orange;Orange;;44,1383;4,8097;France;FR;FRA
Draveil;Draveil;;48,6852;2,408;France;FR;FRA
Grigny;Grigny;;48,6562;2,3849;France;FR;FRA
Saint-?tienne-du-Rouvray;Saint-Etienne-du-Rouvray;Saint-?tienne;49,3786;1,105;France;FR;FRA
Guyancourt;Guyancourt;;48,7714;2,0739;France;FR;FRA
Agde;Agde;;43,3108;3,4758;France;FR;FRA
D?cines-Charpieu;Decines-Charpieu;D?cines;45,7694;4,9594;France;FR;FRA
B?gles;Begles;;44,8086;-0,5478;France;FR;FRA
Soissons;Soissons;;49,3817;3,3236;France;FR;FRA
Villiers-sur-Marne;Villiers-sur-Marne;Villiers;48,8275;2,5447;France;FR;FRA
Saint-Laurent-du-Var;Saint-Laurent-du-Var;Saint-Laurent;43,668;7,188;France;FR;FRA
Bourgoin-Jallieu;Bourgoin-Jallieu;Bourgoin|Jallieu;45,5861;5,2736;France;FR;FRA
Carpentras;Carpentras;;44,0558;5,0489;France;FR;FRA
Bois-Colombes;Bois-Colombes;;48,9175;2,2683;France;FR;FRA
Fresnes;Fresnes;;48,755;2,3221;France;FR;FRA
Vanves;Vanves;;48,8208;2,2897;France;FR;FRA
Villiers-le-Bel;Villiers-le-Bel;Villiers;49,0094;2,3911;France;FR;FRA
Lambersart;Lambersart;;50,65;3,025;France;FR;FRA
Romainville;Romainville;;48,884;2,435;France;FR;FRA
Bussy-Saint-Georges;Bussy-Saint-Georges;;48,8422;2,6983;France;FR;FRA
Limeil-Br?vannes;Limeil-Brevannes;Limeil-Breyannes|Limeil;48,7464;2,4883;France;FR;FRA
Tournefeuille;Tournefeuille;;43,5853;1,3442;France;FR;FRA
Saint-S?bastien-sur-Loire;Saint-Sebastien-sur-Loire;Saint-S?bastien;47,2081;-1,5014;France;FR;FRA
Bergerac;Bergerac;;44,85;0,48;France;FR;FRA
Montfermeil;Montfermeil;;48,9;2,5667;France;FR;FRA
Illkirch-Graffenstaden;Illkirch-Graffenstaden;Illkirch;48,53;7,72;France;FR;FRA
Rambouillet;Rambouillet;;48,6444;1,8308;France;FR;FRA
Saumur;Saumur;;47,26;-0,0769;France;FR;FRA
Vallauris;Vallauris;;43,5805;7,0538;France;FR;FRA
Sannois;Sannois;;48,9722;2,2578;France;FR;FRA
Cavaillon;Cavaillon;;43,8375;5,0381;France;FR;FRA
Br?tigny-sur-Orge;Bretigny-sur-Orge;Bretigny;48,6114;2,3059;France;FR;FRA
Sucy-en-Brie;Sucy-en-Brie;Sucy;48,7697;2,5228;France;FR;FRA
Miramas;Miramas;Miramas Gare;43,5822;5,0019;France;FR;FRA
Taverny;Taverny;;49,0264;2,2275;France;FR;FRA
Orvault;Orvault;;47,2717;-1,6225;France;FR;FRA
Villeparisis;Villeparisis;;48,9503;2,6025;France;FR;FRA
Saint-Dizier;Saint-Dizier;;48,6383;4,9497;France;FR;FRA
Oullins;Oullins;;45,715;4,8083;France;FR;FRA
Lunel;Lunel;;43,6778;4,1361;France;FR;FRA
La Teste-de-Buch;La Teste-de-Buch;La Teste;44,62;-1,1457;France;FR;FRA
H?nin-Beaumont;Henin-Beaumont;H?nin-Li?tard;50,4217;2,9508;France;FR;FRA
Gonesse;Gonesse;;48,9875;2,4494;France;FR;FRA
Sens;Sens;Sens-sur-Yonne;48,1975;3,2877;France;FR;FRA
Vierzon;Vierzon;Vierzon-Ville;47,2225;2,0694;France;FR;FRA
Alen?on;Alencon;;48,4306;0,0931;France;FR;FRA
Le Grand-Quevilly;Le Grand-Quevilly;Quevilly le Grand|Grand-Quevilly;49,4072;1,0531;France;FR;FRA
Brunoy;Brunoy;;48,6979;2,5044;France;FR;FRA
Gradignan;Gradignan;;44,7725;-0,6156;France;FR;FRA
Aurillac;Aurillac;;44,9261;2,4406;France;FR;FRA
Saintes;Saintes;;45,7464;-0,6333;France;FR;FRA
Biarritz;Biarritz;;43,48;-1,56;France;FR;FRA
?lancourt;Elancourt;;48,7847;1,9589;France;FR;FRA
Montb?liard;Montbeliard;Montoeliard;47,51;6,8;France;FR;FRA
Le Kremlin-Bic?tre;Le Kremlin-Bicetre;Kremlin-Bic?tre;48,81;2,3581;France;FR;FRA
La Garde;La Garde;La Garde-pr?s-Toulon;43,1256;6,0108;France;FR;FRA
Eaubonne;Eaubonne;;48,9922;2,2806;France;FR;FRA
?tampes;Etampes;;48,4343;2,1615;France;FR;FRA
Champs-Sur-Marne;Champs-Sur-Marne;Champs;48,8529;2,6027;France;FR;FRA
Muret;Muret;;43,4611;1,3267;France;FR;FRA
B?thune;Bethune;;50,5303;2,6408;France;FR;FRA
Armenti?res;Armentieres;;50,6881;2,8811;France;FR;FRA
Laon;Laon;;49,5639;3,6244;France;FR;FRA
Libourne;Libourne;;44,92;-0,24;France;FR;FRA
Cenon;Cenon;;44,8578;-0,5317;France;FR;FRA
Fontenay-aux-Roses;Fontenay-aux-Roses;Fontenay;48,7893;2,2888;France;FR;FRA
Blagnac;Blagnac;;43,6364;1,3906;France;FR;FRA
Vertou;Vertou;;47,1689;-1,4697;France;FR;FRA
Vichy;Vichy;;46,1278;3,4267;France;FR;FRA
Cormeilles-en-Parisis;Cormeilles-en-Parisis;Cormeilles;48,9739;2,2014;France;FR;FRA
Rochefort;Rochefort;Rochefort-sur-Mer;45,9421;-0,9588;France;FR;FRA
Rodez;Rodez;;44,3506;2,575;France;FR;FRA
Les Pavillons-sous-Bois;Les Pavillons-sous-Bois;Pavillons-sous-Bois|Pavillons|les Pavillons;48,9;2,5;France;FR;FRA
La Valette-du-Var;La Valette-du-Var;La Valette;43,1383;5,9831;France;FR;FRA
Vernon;Vernon;;49,09;1,49;France;FR;FRA
Le Bouscat;Le Bouscat;;44,8651;-0,5996;France;FR;FRA
Orly;Orly;;48,7439;2,3928;France;FR;FRA
Montgeron;Montgeron;;48,7039;2,4605;France;FR;FRA
Villeneuve-la-Garenne;Villeneuve-la-Garenne;Villeneuve;48,9372;2,3278;France;FR;FRA
Saint-Ouen-l?Aum?ne;Saint-Ouen-l'Aumone;;49,0447;2,1111;France;FR;FRA
Dole;Dole;;47,0931;5,4906;France;FR;FRA
Maisons-Laffitte;Maisons-Laffitte;;48,9469;2,1456;France;FR;FRA
Lormont;Lormont;;44,8792;-0,5217;France;FR;FRA
S?vres;Sevres;;48,8239;2,2117;France;FR;FRA
Eysines;Eysines;;44,8853;-0,65;France;FR;FRA
Les Lilas;Les Lilas;;48,88;2,42;France;FR;FRA
Roissy-en-Brie;Roissy-en-Brie;Roissy;48,7906;2,6519;France;FR;FRA
Grande-Synthe;Grande-Synthe;;51,0139;2,3028;France;FR;FRA
H?rouville-Saint-Clair;Herouville-Saint-Clair;H?rouville;49,2044;-0,3253;France;FR;FRA
Abbeville;Abbeville;Abeville;50,1058;1,8358;France;FR;FRA
Frontignan;Frontignan;;43,4483;3,7561;France;FR;FRA
Lanester;Lanester;;47,7647;-3,3422;France;FR;FRA
?pernay;Epernay;;49,0403;3,96;France;FR;FRA
Saint-Mand?;Saint-Mande;Sant Manden;48,8422;2,4186;France;FR;FRA
Torcy;Torcy;;48,8502;2,6508;France;FR;FRA
Fontaine;Fontaine;;45,1939;5,6856;France;FR;FRA
Mandelieu-la-Napoule;Mandelieu-la-Napoule;Mandelieu;43,5464;6,9381;France;FR;FRA
Oyonnax;Oyonnax;Oyannax;46,2561;5,6556;France;FR;FRA
Combs-la-Ville;Combs-la-Ville;Combs;48,67;2,56;France;FR;FRA
Manosque;Manosque;;43,8342;5,7839;France;FR;FRA
