city;city_ascii;city_alt;lat;lng;country;iso2;iso3
Noirceux;Noirceux;;48,3157;7,2602;France;FR;FRA
Les Ponts-de-C?;Les Ponts-de-Ce;Le Pont de Ce;47,4242;-0,5247;France;FR;FRA
Les Pins;Les Pins;;45,819;0,3906;France;FR;FRA
La Grimaudi?re;La Grimaudiere;;46,8079;0,0173;France;FR;FRA
Moustermeur;Moustermeur;;48,2839;-3,3517;France;FR;FRA
Saint-Martin-de-Fug?res;Saint-Martin-de-Fugeres;Saint-Martin;44,9058;3,9345;France;FR;FRA
Willer-sur-Thur;Willer-sur-Thur;Willer;47,8441;7,0721;France;FR;FRA
Fontaine-le-Pin;Fontaine-le-Pin;Fontaine;48,9736;-0,2831;France;FR;FRA
Les Marquets;Les Marquets;;49,7167;0,35;France;FR;FRA
Les Proux;Les Proux;;47,6758;3,2137;France;FR;FRA
Balignac;Balignac;;43,9557;0,8746;France;FR;FRA
La Renaudie;La Renaudie;;45,7352;3,7202;France;FR;FRA
Latronqui?re;Latronquiere;;44,7998;2,0777;France;FR;FRA
Courpi?re;Courpiere;;45,7551;3,538;France;FR;FRA
Loc Maria;Loc Maria;;47,9414;-3,8963;France;FR;FRA
Loc Maria;Loc Maria;;48,6833;-4,1;France;FR;FRA
Zehnacker;Zehnacker;;48,6709;7,4511;France;FR;FRA
Sainte-Croix-en-Jarez;Sainte-Croix-en-Jarez;Sainte Croix;45,4805;4,6439;France;FR;FRA
Champ?mon;Champemon;;46,4971;2,5132;France;FR;FRA
Le B?;Le Bo;;48,8957;-0,449;France;FR;FRA
Verdrel;Verdrel;;50,4259;2,6165;France;FR;FRA
Messy;Messy;;48,9667;2,7;France;FR;FRA
Sauvain;Sauvain;;45,6735;3,9044;France;FR;FRA
Buthiers;Buthiers;;47,3462;6,0349;France;FR;FRA
Ardentes;Ardentes;;46,7419;1,8343;France;FR;FRA
Fallerans;Fallerans;;47,1323;6,2897;France;FR;FRA
Termes-d?Armagnac;Termes-d'Armagnac;Termes|Thermes-d?Armagnac;43,6711;-0,0105;France;FR;FRA
La Gouardi?re;La Gouardiere;;48,4508;0,33;France;FR;FRA
Pierrefeu-du-Var;Pierrefeu-du-Var;Pierrefeu;43,2241;6,1454;France;FR;FRA
Escalles;Escalles;;50,9173;1,7131;France;FR;FRA
Bo?sse;Boesse;Bo?sses;48,1517;2,4483;France;FR;FRA
Guer;Guer;;47,904;-2,1203;France;FR;FRA
Arconsat;Arconsat;;45,8889;3,7131;France;FR;FRA
La Buisse;La Buisse;;45,3464;5,6143;France;FR;FRA
Vimoutiers;Vimoutiers;;48,931;0,1973;France;FR;FRA
Heuzecourt;Heuzecourt;;50,1743;2,1667;France;FR;FRA
Les Sadiers;Les Sadiers;;47,5785;2,9473;France;FR;FRA
Montalieu;Montalieu;Montalieu-Vercieu;45,8125;5,4022;France;FR;FRA
Civrac-sur-Dordogne;Civrac-sur-Dordogne;Civrac-de-Dordogne|Civrac;44,8302;-0,0814;France;FR;FRA
Bussy;Bussy;;49,6253;2,9823;France;FR;FRA
Villembray;Villembray;;49,4749;1,8689;France;FR;FRA
Scuffa di a Noce;Scuffa di a Noce;Scapa di Noce;41,7854;9,1788;France;FR;FRA
Le Troncq;Le Troncq;;49,1901;0,9163;France;FR;FRA
Caros-Combout;Caros-Combout;;47,9659;-3,5025;France;FR;FRA
L?paud;Lepaud;;46,5881;3,1145;France;FR;FRA
No?llet;Noellet;;47,6937;-1,0912;France;FR;FRA
Vallicalla;Vallicalla;;42,3818;9,5297;France;FR;FRA
Saint-Pierre-en-Port;Saint-Pierre-en-Port;Saint-Pierre;49,8058;0,4974;France;FR;FRA
Criens;Criens;;47,0012;3,4821;France;FR;FRA
La Neuville-aux-Jo?tes;La Neuville-aux-Joutes;La Neuville;49,9221;4,2289;France;FR;FRA
Les Landris;Les Landris;;47,5753;3,2234;France;FR;FRA
Saint-Hilaire de Talmont;Saint-Hilaire de Talmont;Saint-Hilaire|Saint-Hilaire-de-Talmont;46,4701;-1,6033;France;FR;FRA
Le Grand Br?au;Le Grand Breau;;48,1555;1,959;France;FR;FRA
La Roque-Esclapon;La Roque-Esclapon;La Roque d?Esclapon|La Roque;43,7233;6,6298;France;FR;FRA
Les Chalaides;Les Chalaides;;49,0833;4,9167;France;FR;FRA
Le Bout d?en Haut;Le Bout d'en Haut;;48,0498;2,2926;France;FR;FRA
Cirendinu;Cirendinu;Cirendino;41,6547;9,3632;France;FR;FRA
Le Fieu;Le Fieu;;44,9263;0,4944;France;FR;FRA
Le Fieu;Le Fieu;;45,0597;-0,0337;France;FR;FRA
Clermont-Sav?s;Clermont-Saves;Clermont;43,6173;1,0301;France;FR;FRA
Bourg-d?Oueil;Bourg-d'Oueil;;42,859;0,4988;France;FR;FRA
Widensolen;Widensolen;Widensohlen;48,0638;7,4802;France;FR;FRA
Pluneret;Pluneret;Plumeret;47,6756;-2,9589;France;FR;FRA
Tregam;Tregam;;48,15;-4,05;France;FR;FRA
Les Monts;Les Monts;;49,212;1,1951;France;FR;FRA
P?rignat-l?s-Sarli?ve;Perignat-les-Sarlieve;P?rignat;45,7366;3,1396;France;FR;FRA
Saulmory-et-Villefranche;Saulmory-et-Villefranche;Saulmory;49,4347;5,178;France;FR;FRA
Voyennes;Voyennes;;49,7708;2,9858;France;FR;FRA
Prafauchier;Prafauchier;;44,8667;6,7833;France;FR;FRA
L?b?court;Lebecourt;;49,2185;1,5044;France;FR;FRA
Cr?zan?ay-sur-Cher;Crezancay-sur-Cher;Cr?zan?ay;46,813;2,3555;France;FR;FRA
Rosteig;Rosteig;;48,9326;7,3389;France;FR;FRA
Saint-M?ard-de-Dr?ne;Saint-Meard-de-Drone;Saint-M?ard-de-Dronne|Saint-M?ard-de-Drone|Saint M?ard;45,2489;0,4218;France;FR;FRA
Fr?nes;Frenes;;48,7846;-0,6819;France;FR;FRA
Gouves;Gouves;;50,2989;2,636;France;FR;FRA
La Roque-Baignard;La Roque-Baignard;La Roque;49,1788;0,0998;France;FR;FRA
Bagn?res-de-Luchon;Bagneres-de-Luchon;Luchon;42,7908;0,5934;France;FR;FRA
Querciolo;Querciolo;;42,4907;9,4811;France;FR;FRA
Goussancourt;Goussancourt;;49,1669;3,6685;France;FR;FRA
Castillon-de-Larboust;Castillon-de-Larboust;Castillon;42,8058;0,5343;France;FR;FRA
Saint-Jean-de-Vals;Saint-Jean-de-Vals;Saint-Jean;43,6899;2,2561;France;FR;FRA
Goasvoen;Goasvoen;;48,2662;-3,3125;France;FR;FRA
Montiron;Montiron;;43,5856;0,8477;France;FR;FRA
Orlu;Orlu;;48,3711;1,9189;France;FR;FRA
C?sar;Cesar;;46,5661;3,048;France;FR;FRA
Ribouisse;Ribouisse;;43,1823;1,8974;France;FR;FRA
Florat;Florat;;45,3709;3,188;France;FR;FRA
Bovelles;Bovelles;;49,8823;2,1459;France;FR;FRA
Keralcun;Keralcun;Keraleun|Keralleunoc;48,332;-4,3937;France;FR;FRA
Le Theil-Nolent;Le Theil-Nolent;Le Theil;49,1546;0,5408;France;FR;FRA
S?gonzat;Segonzat;;45,7545;2,3372;France;FR;FRA
Provench?res-sur-Marne;Provencheres-sur-Marne;Provench?res;48,3091;5,1198;France;FR;FRA
Massingy;Massingy;;45,8295;5,9196;France;FR;FRA
Plesnois;Plesnois;;49,1731;6,106;France;FR;FRA
Saint-Jean-d?Angle;Saint-Jean-d'Angle;Saint-Jean;45,8184;-0,9473;France;FR;FRA
Boutenac;Boutenac;;43,1476;2,7911;France;FR;FRA
Allonzier-la-Caille;Allonzier-la-Caille;;46,0012;6,1186;France;FR;FRA
Chaumes;Chaumes;Les Chaumes;46,9051;2,5224;France;FR;FRA
Vesdun;Vesdun;;46,5393;2,4288;France;FR;FRA
Ablon;Ablon;;49,3921;0,2958;France;FR;FRA
Le Chesne;Le Chesne;La Chesne;49,5134;4,7642;France;FR;FRA
Labeyrie;Labeyrie;;43,5415;-0,6215;France;FR;FRA
Chalaines;Chalaines;;48,6033;5,6809;France;FR;FRA
Yronde;Yronde;Yronde-et-Buron;45,6134;3,2551;France;FR;FRA
Vireuil-le-Haut;Vireuil-le-Haut;;45,2667;4,55;France;FR;FRA
Cuffy;Cuffy;;46,9628;3,0524;France;FR;FRA
Maisonsgoutte;Maisonsgoutte;;48,3527;7,2626;France;FR;FRA
La Penna;La Penna;;41,8342;9,3743;France;FR;FRA
Les Thibauts;Les Thibauts;Les Thibaults;48,1517;2,8938;France;FR;FRA
Les Thibauts;Les Thibauts;;47,3914;2,3057;France;FR;FRA
La Jacquinerie;La Jacquinerie;;46,6212;3,1053;France;FR;FRA
Us;Us;;49,1;1,9667;France;FR;FRA
Nousseviller-Saint-Nabor;Nousseviller-Saint-Nabor;Nousseviller|Nousseviller l?s Puttelange;49,121;6,9695;France;FR;FRA
L??le Bouchard;L'Ile Bouchard;L?Isle-Bouchard|?le-Bouchard;47,1175;0,4237;France;FR;FRA
Boscamnant;Boscamnant;;45,1975;-0,0693;France;FR;FRA
Messia-sur-Sorne;Messia-sur-Sorne;Messia|Messia-l?s-Chilly;46,6618;5,5116;France;FR;FRA
Les Pommais;Les Pommais;;46,899;3,1391;France;FR;FRA
Puylaurens;Puylaurens;;43,5722;2,0111;France;FR;FRA
Saint-Georges-du-Mesnil;Saint-Georges-du-Mesnil;Saint-Georges;49,212;0,5601;France;FR;FRA
Selles-sur-Cher;Selles-sur-Cher;Selles;47,279;1,5539;France;FR;FRA
Feliceto;Feliceto;;42,5441;8,9352;France;FR;FRA
Nieul-sur-l?Autise;Nieul-sur-l'Autise;Nieul-sur l?Autize|Nieul;46,424;-0,6791;France;FR;FRA
Les Hodillons;Les Hodillons;;46,4833;3,35;France;FR;FRA
Le Clerjus;Le Clerjus;;47,9621;6,3241;France;FR;FRA
Bilia;Bilia;;41,625;8,907;France;FR;FRA
M?nerval;Menerval;;49,5649;1,6584;France;FR;FRA
Beaugerai;Beaugerai;;46,9087;1,2638;France;FR;FRA
Larcat;Larcat;;42,7783;1,6612;France;FR;FRA
Ravilloles;Ravilloles;;46,4245;5,8021;France;FR;FRA
Martins;Martins;;45,1033;-0,7229;France;FR;FRA
Halloy-l?s-Pernois;Halloy-les-Pernois;Halloy;50,05;2,2;France;FR;FRA
La Ferri?re;La Ferriere;;48,142;-2,6076;France;FR;FRA
Paillart;Paillart;;49,6671;2,3248;France;FR;FRA
Bastanous;Bastanous;;43,363;0,3674;France;FR;FRA
Saint-Didier-la-For?t;Saint-Didier-la-Foret;Saint-Didier-en-Rollat|Saint-Didier;46,2252;3,3438;France;FR;FRA
Minorville;Minorville;;48,8168;5,8894;France;FR;FRA
Mouthiers-sur-Bo?me;Mouthiers-sur-Boeme;Mouthiers;45,5602;0,1238;France;FR;FRA
Videlles;Videlles;;48,465;2,4297;France;FR;FRA
Serlande;Serlande;;45,4217;3,3665;France;FR;FRA
Nanteuil-la-Fosse;Nanteuil-la-Fosse;Nanteuil;49,1312;3,9224;France;FR;FRA
Le Couderc;Le Couderc;;44,9833;1,3167;France;FR;FRA
Tourouvre;Tourouvre;;48,5895;0,6525;France;FR;FRA
Marlot;Marlot;;46,35;3,1;France;FR;FRA
Saint-Amans-du-Pech;Saint-Amans-du-Pech;Saint-Amans;44,3162;0,8892;France;FR;FRA
Beaucorroy;Beaucorroy;;50,6228;1,8094;France;FR;FRA
Montclus;Montclus;;44,415;5,6832;France;FR;FRA
Chiroubles;Chiroubles;;46,1805;4,6656;France;FR;FRA
Vernon;Vernon;;44,5076;4,2253;France;FR;FRA
Maisons-en-Champagne;Maisons-en-Champagne;Maisons;48,748;4,4985;France;FR;FRA
Meurger;Meurger;;48,5775;0,2293;France;FR;FRA
Qu?rien;Querien;;48,2022;-2,6498;France;FR;FRA
Christreix;Christreix;;45,4833;2,6167;France;FR;FRA
Saint-Martial-de-Vitaterne;Saint-Martial-de-Vitaterne;Saint-Martial;45,4611;-0,4334;France;FR;FRA
Kerieuff;Kerieuff;;48,6231;-3,9731;France;FR;FRA
Ch?zery;Chezery;Ch?zery-Forens;46,2227;5,8688;France;FR;FRA
Le Grand Mailly;Le Grand Mailly;;48,6699;4,2012;France;FR;FRA
Bal?tre;Balatre;;49,7097;2,8654;France;FR;FRA
La Fenderie;La Fenderie;;48,2;5,1667;France;FR;FRA
Battenans-les-Mines;Battenans-les-Mines;Battenans;47,4098;6,2686;France;FR;FRA
Planginot;Planginot;;46,0189;-1,3536;France;FR;FRA
La Colombi?re;La Colombiere;;48,7063;3,9466;France;FR;FRA
Sauvage;Sauvage;;48,5843;1,7405;France;FR;FRA
Dugny-sur-Meuse;Dugny-sur-Meuse;Dugny;49,1095;5,3855;France;FR;FRA
Annoisin;Annoisin;Annoisin-Chatelans;45,7572;5,2921;France;FR;FRA
Les Fonts;Les Fonts;Les Fonds;44,85;6,8167;France;FR;FRA
Sauvage;Sauvage;;47,0018;0,5567;France;FR;FRA
La Nou?-Adam;La Noue-Adam;;49,4211;4,7595;France;FR;FRA
La Couy?re;La Couyere;;47,8879;-1,5059;France;FR;FRA
Saint-Barth?lemy;Saint-Barthelemy;;48,817;3,3616;France;FR;FRA
Duhort-Bachen;Duhort-Bachen;Duhort;43,7243;-0,3236;France;FR;FRA
Faubourg des Sarts;Faubourg des Sarts;Les Sarts;50,2898;3,9632;France;FR;FRA
Grouannec Coz;Grouannec Coz;Grouannec;48,591;-4,4626;France;FR;FRA
Erbr?e;Erbree;;48,0983;-1,125;France;FR;FRA
Labaume;Labaume;;44,0546;4,3603;France;FR;FRA
Verneuil;Verneuil;;46,6839;2,634;France;FR;FRA
Bellechassagne;Bellechassagne;;45,6449;2,2256;France;FR;FRA
Saint-Germain-sur-Meuse;Saint-Germain-sur-Meuse;Saint-Germain;48,6494;5,6942;France;FR;FRA
Alba-la-Romaine;Alba-la-Romaine;Alba;44,5545;4,5981;France;FR;FRA
Jeandelize;Jeandelize;;49,1639;5,7889;France;FR;FRA
Gibercourt;Gibercourt;;49,7369;3,2845;France;FR;FRA
R?ch?sy;Rechesy;;47,5085;7,1118;France;FR;FRA
Saint-Hilaire-d?Estissac;Saint-Hilaire-d'Estissac;Saint-Hilaire;45,0133;0,5072;France;FR;FRA
Fontaine-Bonneleau;Fontaine-Bonneleau;Fontaine;49,6618;2,1478;France;FR;FRA
Francardo;Francardo;;42,3959;9,1916;France;FR;FRA
Saint-Dizant-du-Bois;Saint-Dizant-du-Bois;Saint-Duzant;45,3983;-0,5738;France;FR;FRA
Le M?nil-Scelleur;Le Menil-Scelleur;;48,6102;-0,1206;France;FR;FRA
Kerb?dic;Kerbedic;;48,0985;-3,0674;France;FR;FRA
La C?te-Saint-Andr?;La Cote-Saint-Andre;C?te-Saint-Andr?;45,3945;5,2591;France;FR;FRA
La Poupini?re;La Poupiniere;;47,402;-1,497;France;FR;FRA
Maux;Maux;;47,0477;3,7823;France;FR;FRA
Peyrins;Peyrins;;45,0933;5,0451;France;FR;FRA
Bo?lot;Boolot;;48,6098;3,3634;France;FR;FRA
Saint-Magne;Saint-Magne;;44,5268;-0,6579;France;FR;FRA
Saint-Maurice-sur-Aveyron;Saint-Maurice-sur-Aveyron;Saint-Maurice;47,8509;2,9266;France;FR;FRA
Saint-Martial-d?Albar?de;Saint-Martial-d'Albarede;Saint-Martial;45,3254;1,0307;France;FR;FRA
Pommiers;Pommiers;;46,5236;1,656;France;FR;FRA
Mouron-sur-Yonne;Mouron-sur-Yonne;Mouron;47,1904;3,7402;France;FR;FRA
Aunay-sous-Auneau;Aunay-sous-Auneau;Aunay;48,4414;1,8109;France;FR;FRA
Saint-Romain-le-Preux;Saint-Romain-le-Preux;Saint-Romain;47,9342;3,2409;France;FR;FRA
Petit Riville;Petit Riville;;49,7157;0,5786;France;FR;FRA
Serville;Serville;;48,769;1,4859;France;FR;FRA
S?couet;Secouet;;48,0188;-2,4946;France;FR;FRA
G?pr?e;Gapree;;48,6219;0,2907;France;FR;FRA
Juillac-le-Coq;Juillac-le-Coq;Juillac;45,5897;-0,2611;France;FR;FRA
Montaugier;Montaugier;;45,5895;5,8532;France;FR;FRA
Saint-Martin-la-Patrouille;Saint-Martin-la-Patrouille;Saint-Martin;46,5823;4,5538;France;FR;FRA
Dampierre-au-Temple;Dampierre-au-Temple;Dampierre;49,0456;4,3923;France;FR;FRA
Mehun-sur-Y?vre;Mehun-sur-Yevre;Mehun|Mehun-sur-Y?vres;47,1378;2,2111;France;FR;FRA
Bitche;Bitche;Bitsch;49,0523;7,4299;France;FR;FRA
Remigny;Remigny;;49,72;3,288;France;FR;FRA
Grand Bonnezeaux;Grand Bonnezeaux;;47,2768;-0,4845;France;FR;FRA
Forges;Forges;;47,2174;-0,2458;France;FR;FRA
Bissey-la-Pierre;Bissey-la-Pierre;Bissey;47,8486;4,4263;France;FR;FRA
Aveluy;Aveluy;;50,0231;2,6581;France;FR;FRA
La Chaume;La Chaume;;46,4949;-1,8043;France;FR;FRA
Le Plessier-Rozainvillers;Le Plessier-Rozainvillers;Le Plessier|Plessier-Rozainvillers;49,7513;2,5537;France;FR;FRA
Montagut;Montagut;;45,6148;0,7219;France;FR;FRA
Montagut;Montagut;;43,5461;-0,5037;France;FR;FRA
Rueyres;Rueyres;Rueyre;44,7483;1,8472;France;FR;FRA
Soulign?-sous-Ballon;Souligne-sous-Ballon;Soulign?;48,1376;0,2357;France;FR;FRA
Villemur;Villemur;;43,2554;0,5491;France;FR;FRA
Souchay;Souchay;;48,0639;1,1867;France;FR;FRA
Menthonnex-sous-Clermont;Menthonnex-sous-Clermont;Menthonnex;45,9639;5,9345;France;FR;FRA
La Chaume;La Chaume;;47,0279;3,0251;France;FR;FRA
La Chaume;La Chaume;;48,0147;2,6077;France;FR;FRA
La Chaume;La Chaume;;46,4316;2,1465;France;FR;FRA
La Chaume;La Chaume;;46,6986;1,2014;France;FR;FRA
Grez-Neuville;Grez-Neuville;Grez;47,6028;-0,6816;France;FR;FRA
Laparade;Laparade;;44,3886;0,448;France;FR;FRA
Saint-C?me-d?Olt;Saint-Come-d'Olt;Saint-C?me;44,5155;2,8142;France;FR;FRA
Urville-Nacqueville;Urville-Nacqueville;Urville|Urville-Hague;49,6744;-1,7366;France;FR;FRA
La Guerche-de-Bretagne;La Guerche-de-Bretagne;La Guerche;47,9417;-1,2309;France;FR;FRA
Maflux;Maflux;;45,6667;3,6333;France;FR;FRA
Lafond;Lafond;;45,5159;2,0972;France;FR;FRA
Saint-?tienne-en-Bresse;Saint-Etienne-en-Bresse;Saint-?tienne;46,7062;5,051;France;FR;FRA
Queyri?res;Queyrieres;;45,0723;4,0982;France;FR;FRA
Le Fein;Le Fein;;44,5167;6,2667;France;FR;FRA
Salency;Salency;;49,5883;3,048;France;FR;FRA
Larnac;Larnac;;44,2393;4,168;France;FR;FRA
Gages le Bas;Gages le Bas;Gages-le-Bas;44,3976;2,6872;France;FR;FRA
Chastel-sur-Murat;Chastel-sur-Murat;Chastel;45,1247;2,8578;France;FR;FRA
Elbeuf-sur-Andelle;Elbeuf-sur-Andelle;Elbeuf;49,4607;1,3958;France;FR;FRA
Pierrefontaines;Pierrefontaines;;47,7958;5,2037;France;FR;FRA
L??rable;L'Erable;;47,1667;1,1333;France;FR;FRA
L??rable;L'Erable;;47,0578;2,1046;France;FR;FRA
Hasparren;Hasparren;;43,3839;-1,3052;France;FR;FRA
Cit?;Cite;;48,7667;-3,45;France;FR;FRA
Grand?Landes;Grand'Landes;Grand-Landes;46,8211;-1,6505;France;FR;FRA
Renieville;Renieville;Remeville;49,7136;0,9794;France;FR;FRA
Pugieu;Pugieu;;45,8202;5,6501;France;FR;FRA
Dev?ze;Deveze;;43,2719;0,5479;France;FR;FRA
Toulon;Toulon;;46,4923;0,6406;France;FR;FRA
Deluz;Deluz;;47,2939;6,2015;France;FR;FRA
La Neuville-du-Bosc;La Neuville-du-Bosc;La Neuville;49,1928;0,8128;France;FR;FRA
Le Pout;Le Pout;;44,7939;-0,3603;France;FR;FRA
Flines-l?s-Raches;Flines-les-Raches;Flines|L?Abbaye|Flines-l?s-R?ohes;50,4245;3,1832;France;FR;FRA
Quesquemelon;Quesquemelon;;48,6265;-3,1686;France;FR;FRA
Le Tourneur;Le Tourneur;;48,9639;-0,8236;France;FR;FRA
Selongey;Selongey;;47,5885;5,1848;France;FR;FRA
Outill?;Outille;;47,8696;0,2984;France;FR;FRA
Le Luhier;Le Luhier;Luhier;47,1681;6,6557;France;FR;FRA
Orgeix;Orgeix;;42,7086;1,8663;France;FR;FRA
Roches;Roches;;46,2828;2,0001;France;FR;FRA
